Sueldo,CCAA
61611.76,Junta De Extremadura
61611.76,Junta De Extremadura
66219.28,Junta De Extremadura
68191.49,Junta De Extremadura
61611.76,Junta De Extremadura
64212.12,Junta De Extremadura
48577.15,Junta De Extremadura
67965.52,Junta De Extremadura
64447.88,Junta De Extremadura
61611.76,Junta De Extremadura
61611.75,Junta De Extremadura
63999.26,Junta De Extremadura
48592.46,Junta De Extremadura
47999.98,Junta De Extremadura
67371.16,Junta De Extremadura
74252.79,Junta De Extremadura
68479.46,Junta De Extremadura
61611.76,Junta De Extremadura
64491.46,Junta De Extremadura
44318.54,Junta De Extremadura
68909.21,Junta De Extremadura
61611.77,Junta De Extremadura
64954.26,Junta De Extremadura
65067.4,Junta De Extremadura
52174.68,Junta De Extremadura
62491.84,Junta De Extremadura
61611.76,Junta De Extremadura
46939.38,Junta De Extremadura
63540.51,Junta De Extremadura
65512.78,Junta De Extremadura
61611.76,Junta De Extremadura
64127.84,Junta De Extremadura
61611.76,Junta De Extremadura
66820.68,Junta De Extremadura
62332.61,Junta De Extremadura
55965.47,Junta De Extremadura
67965.52,Junta De Extremadura
67371.16,Junta De Extremadura
65395.59,Junta De Extremadura
61611.77,Junta De Extremadura
64491.46,Junta De Extremadura
50771.92,Junta De Extremadura
61611.76,Junta De Extremadura
61611.76,Junta De Extremadura
64736.42,Junta De Extremadura
68976.86,Junta De Extremadura
67965.52,Junta De Extremadura
66795.22,Junta De Extremadura
48947.3,Junta De Extremadura
48480,Junta De Extremadura
68036.95,Junta De Extremadura
71421.16,Junta De Extremadura
46654.96,Junta De Extremadura
50071.44,Junta De Extremadura
61611.77,Junta De Extremadura
64296.69,Junta De Extremadura
67965.52,Junta De Extremadura
56000.04,Junta De Extremadura
63915.52,Junta De Extremadura
74732.22,Junta De Extremadura
61613,Junta De Extremadura
50510.24,Junta De Extremadura
55654.06,Junta De Extremadura
65067.4,Junta De Extremadura
67656.23,Junta De Extremadura
61611.77,Junta De Extremadura
64491.46,Junta De Extremadura
69127.87,Junta De Extremadura
65253.11,Junta De Extremadura
61611.77,Junta De Extremadura
47033.16,Junta De Extremadura
27166.23,Junta De Extremadura
61611.51,Junta De Extremadura
54610.51,Junta De Extremadura
61611.76,Junta De Extremadura
63915.52,Junta De Extremadura
38217.94,Junta De Extremadura
61611.76,Junta De Extremadura
