Sueldo,CCAA
64743.72,Gobierno De Aragón
64743.72,Gobierno De Aragón
72985.8,Gobierno De Aragón
67047.48,Gobierno De Aragón
68282.54,Gobierno De Aragón
69351.24,Gobierno De Aragón
71655,Gobierno De Aragón
68199.36,Gobierno De Aragón
65895.6,Gobierno De Aragón
69351.24,Gobierno De Aragón
71079.06,Gobierno De Aragón
65906.16,Gobierno De Aragón
64743.72,Gobierno De Aragón
69927.18,Gobierno De Aragón
70503.12,Gobierno De Aragón
66653.72,Gobierno De Aragón
65895.6,Gobierno De Aragón
66150.4,Gobierno De Aragón
64743.72,Gobierno De Aragón
65906.16,Gobierno De Aragón
64743.72,Gobierno De Aragón
64743.56,Gobierno De Aragón
69996.22,Gobierno De Aragón
70503.12,Gobierno De Aragón
69927.18,Gobierno De Aragón
69927.18,Gobierno De Aragón
70503.12,Gobierno De Aragón
64743.72,Gobierno De Aragón
69927.18,Gobierno De Aragón
64743.72,Gobierno De Aragón
74545.26,Gobierno De Aragón
70503.12,Gobierno De Aragón
73556.74,Gobierno De Aragón
64743.72,Gobierno De Aragón
67623.42,Gobierno De Aragón
64743.72,Gobierno De Aragón
70503.12,Gobierno De Aragón
71655,Gobierno De Aragón
70503.12,Gobierno De Aragón
68199.36,Gobierno De Aragón
70951.22,Gobierno De Aragón
65906.16,Gobierno De Aragón
64743.72,Gobierno De Aragón
68563.72,Gobierno De Aragón
69927.18,Gobierno De Aragón
64743.72,Gobierno De Aragón
70404.68,Gobierno De Aragón
86070.12,Gobierno De Aragón
65319.66,Gobierno De Aragón
73059.3,Gobierno De Aragón
64743.72,Gobierno De Aragón
70503.12,Gobierno De Aragón
70503.12,Gobierno De Aragón
65906.16,Gobierno De Aragón
65742.6,Gobierno De Aragón
69927.18,Gobierno De Aragón
64743.72,Gobierno De Aragón
68775.3,Gobierno De Aragón
64743.72,Gobierno De Aragón
68775.3,Gobierno De Aragón
68381.54,Gobierno De Aragón
68199.36,Gobierno De Aragón
71830.92,Gobierno De Aragón
71079.06,Gobierno De Aragón
75147.96,Gobierno De Aragón
67623.26,Gobierno De Aragón
67297.92,Gobierno De Aragón
68199.36,Gobierno De Aragón
64743.72,Gobierno De Aragón
64743.72,Gobierno De Aragón
64743.72,Gobierno De Aragón
71636.16,Gobierno De Aragón
65906.16,Gobierno De Aragón
64743.72,Gobierno De Aragón
64743.72,Gobierno De Aragón
69518.72,Gobierno De Aragón
65906.16,Gobierno De Aragón
72241.5,Gobierno De Aragón
