Sueldo,CCAA
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
71112.66,Gobierno De Murcia
71112.66,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
63036.24,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
63036.24,Gobierno De Murcia
54064.12,Gobierno De Murcia
71112.66,Gobierno De Murcia
63036.24,Gobierno De Murcia
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
71112.66,Gobierno De Murcia
54064.12,Gobierno De Murcia
54064.12,Gobierno De Murcia
