Sueldo,CCAA
67465.16,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
58665.38,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
58665.38,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
67465.16,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
61598.58,Gobierno De La Rioja
58665.38,Gobierno De La Rioja
