CCAA,max,min,mean,labels
Castilla La Mancha,74232.9,62052.34,64226.36,max
Madrid,102921.6,75084,93351.084,min
Catalunya,110759.94,62154.26,86277.382,media
Valenciana,73459.68,50344.68,61802.33
Aragón,86070.12,64743.56,68344.102
Asturias,64985.66,48836.78,57080.654
Canarias,89808.55,46824.51,60573.178
Cantabria,89199.59,34156.25,60702.485
La Rioja,67465.16,58665.38,62506.51
Murcia,71112.66,54064.12,58617.362
Navarra,86299.92,54574.38,59217.031
Illes Balears,87861.48,46746.65,55193.602
Euskadi,87799.34,67757.9,70688.362
Andalucía,81639.8,41057.26,58777.513
Castilla Y León,99185.46,57332.62,67907.044
Extremadura,74732.22,27166.23,60819.059
Galicia,74169.02,33518,54581.736
