Sueldo,CCAA
61794.6,Gobierno De Cantabria
34156.25,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
54507,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
75963.79,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
89199.59,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
56996.05,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
56105.5,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61182.77,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
62412.55,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
47095.18,Gobierno De Cantabria
46924.6,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61182.77,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
75963.79,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
81608,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61206,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61182.77,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
47944.7,Gobierno De Cantabria
59652.62,Gobierno De Cantabria
56996.05,Gobierno De Cantabria
61182.77,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
64459.1,Gobierno De Cantabria
56996.05,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
58734.3,Gobierno De Cantabria
48660.8,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
53592.75,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
46639.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
59652.62,Gobierno De Cantabria
56996.05,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
61794.6,Gobierno De Cantabria
57970.25,Gobierno De Cantabria
59350.64,Gobierno De Cantabria
