Sueldo,CCAA
52306,Xunta De Galicia
57894.6,Xunta De Galicia
46904,Xunta De Galicia
46904,Xunta De Galicia
46904,Xunta De Galicia
67848,Xunta De Galicia
59046.48,Xunta De Galicia
56166.88,Xunta De Galicia
45827,Xunta De Galicia
60774.4,Xunta De Galicia
60774.3,Xunta De Galicia
61926.28,Xunta De Galicia
69233.46,Xunta De Galicia
52306,Xunta De Galicia
56166.88,Xunta De Galicia
60774.4,Xunta De Galicia
56166.88,Xunta De Galicia
56166.88,Xunta De Galicia
52306,Xunta De Galicia
46904,Xunta De Galicia
56166.88,Xunta De Galicia
52306,Xunta De Galicia
56166.88,Xunta De Galicia
57894.7,Xunta De Galicia
64067.04,Xunta De Galicia
56166.88,Xunta De Galicia
52306,Xunta De Galicia
46904,Xunta De Galicia
38230,Xunta De Galicia
67522.68,Xunta De Galicia
59470,Xunta De Galicia
46904,Xunta De Galicia
59470,Xunta De Galicia
68842.04,Xunta De Galicia
35622,Xunta De Galicia
46904,Xunta De Galicia
40833,Xunta De Galicia
45655,Xunta De Galicia
59622.42,Xunta De Galicia
46904,Xunta De Galicia
46904,Xunta De Galicia
59046.58,Xunta De Galicia
46904,Xunta De Galicia
60198.46,Xunta De Galicia
59804.7,Xunta De Galicia
62214.25,Xunta De Galicia
58204.58,Xunta De Galicia
69826.44,Xunta De Galicia
46904,Xunta De Galicia
56166.88,Xunta De Galicia
59031.78,Xunta De Galicia
44174,Xunta De Galicia
46905,Xunta De Galicia
74169.02,Xunta De Galicia
52306,Xunta De Galicia
52306,Xunta De Galicia
64067.04,Xunta De Galicia
58381.44,Xunta De Galicia
52306,Xunta De Galicia
38571,Xunta De Galicia
57894.6,Xunta De Galicia
59470,Xunta De Galicia
46904,Xunta De Galicia
52306,Xunta De Galicia
33518,Xunta De Galicia
52306,Xunta De Galicia
52306,Xunta De Galicia
60774.4,Xunta De Galicia
60774.4,Xunta De Galicia
71036.46,Xunta De Galicia
46904,Xunta De Galicia
57894.7,Xunta De Galicia
46904,Xunta De Galicia
52306,Xunta De Galicia
62502.22,Xunta De Galicia
59247.51,Xunta De Galicia
46904,Xunta De Galicia
46904,Xunta De Galicia
62116.6,Xunta De Galicia
59622.42,Xunta De Galicia
46904,Xunta De Galicia
46904,Xunta De Galicia
64668.1,Xunta De Galicia
52239,Xunta De Galicia
52306,Xunta De Galicia
56166.88,Xunta De Galicia
52306,Xunta De Galicia
46904,Xunta De Galicia
63541.38,Xunta De Galicia
46904,Xunta De Galicia
61507.75,Xunta De Galicia
44174,Xunta De Galicia
52306,Xunta De Galicia
62502.22,Xunta De Galicia
61590.44,Xunta De Galicia
60774.4,Xunta De Galicia
56166.88,Xunta De Galicia
56166.88,Xunta De Galicia
46904,Xunta De Galicia
60774.4,Xunta De Galicia
56166.88,Xunta De Galicia
59622.42,Xunta De Galicia
46904,Xunta De Galicia
60198.46,Xunta De Galicia
56900.23,Xunta De Galicia
57894.68,Xunta De Galicia
52306,Xunta De Galicia
46904,Xunta De Galicia
46904,Xunta De Galicia
56166.88,Xunta De Galicia
56166.88,Xunta De Galicia
56166.88,Xunta De Galicia
37539,Xunta De Galicia
61926.28,Xunta De Galicia
59046.48,Xunta De Galicia
46904,Xunta De Galicia
59470,Xunta De Galicia
52161,Xunta De Galicia
46904,Xunta De Galicia
57894.7,Xunta De Galicia
52306,Xunta De Galicia
52306,Xunta De Galicia
52306,Xunta De Galicia
46904,Xunta De Galicia
52306,Xunta De Galicia
64067.04,Xunta De Galicia
64067.04,Xunta De Galicia
68098.62,Xunta De Galicia
