Sueldo,CCAA
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
62154.26,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
75123.44,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110407.82,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110407.82,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
110407.82,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
110759.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
85769.1,Generalitat De Catalunya
82209.94,Generalitat De Catalunya
