Sueldo,CCAA
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
87799.34,Gobierno Vasco
67757.9,Gobierno Vasco
87799.34,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
79460.57,Gobierno Vasco
87799.34,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
87799.34,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
87799.34,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
67757.9,Gobierno Vasco
79460.57,Gobierno Vasco
67757.9,Gobierno Vasco
