Sueldo,CCAA
74232.9,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
70326.06,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
74232.9,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
66189.2,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
66189.2,Castilla La Mancha
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
97277.4,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
97788.96,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
100556.52,Comunidad De Madrid
75084,Comunidad De Madrid
100556.52,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
100556.52,Comunidad De Madrid
75084,Comunidad De Madrid
97277.4,Comunidad De Madrid
102921.6,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
100556.52,Comunidad De Madrid
75084,Comunidad De Madrid
100556.52,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
100556.52,Comunidad De Madrid
93855,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
75084,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
75084,Comunidad De Madrid
75084,Comunidad De Madrid
97277.4,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
93855,Comunidad De Madrid
